x,y
101.1580658,263.8469086
110.8586197,265.2609253
116.7031021,272.7812042
116.5521317,282.7535706
113.3814774,292.0187683
109.0318451,300.6095276
106.0897141,309.6936646
108.9241943,307.8834839
116.2802887,304.8690186
113.2883987,296.2827759
118.0601196,289.7982483
120.5365143,280.2320557
118.8759308,270.7161713
112.3946609,263.5702209
102.513504,262.2816925
92.62223816,263.4629974
83.5970192,267.4358826
75.49368668,264.2426147
71.37575912,255.536377
75.29329681,251.3141937
77.0248642,251.1927185
74.29526138,241.652771
71.79693985,232.1365662
71.31105804,222.1452637
70.43914413,212.1963959
64.23695374,214.1880188
63.23110962,204.2803497
63.31801605,194.2782745
64.71996689,184.5031738
70.87482452,184.919693
73.70379257,177.1556854
77.18885422,167.9754791
82.03858566,159.6277924
87.06717682,151.2159576
82.6657753,147.3104706
83.67115784,139.9259491
90.27768707,145.3016205
298.3684998,154.1293793
300.1575928,163.7962189
301.3992004,173.7012482
301.461792,183.7022095
297.3406982,191.4552917
301.3703308,197.6351929
297.5875244,206.6899872
298.7306213,208.3122559
302.3164673,199.1168213
304.2362976,189.6059723
304.701416,179.7652283
302.7492676,170.2425537
301.1945801,160.4156952
298.7612915,150.904007
295.6275635,147.03405
320.2428284,146.4942093
27.90196943,149.7273102
22.0791316,153.5805359
31.49174118,151.3721924
41.21839333,149.6100464
51.11944008,148.4725952
61.12060547,148.2783661
53.76702881,147.5804901
43.76312447,147.5086823
33.76007748,147.6159592
335.9468994,153.7024689
326.5062256,160.7424622
87.52835846,167.9394836
92.48590088,172.9285736
332.4244995,172.1706696
84.93727875,172.0544891
334.9143066,177.4456635
337.6334839,204.1458893
338.1186218,194.2317352
337.3132019,192.2909088
350.9283142,196.1453247
351.2658386,206.1427002
352.213562,202.0839844
352.1593933,192.0831604
260.0106506,190.914505
260.1198273,200.9152069
258.3895264,210.3474426
259.6740875,213.0781097
260.0706024,223.0273743
255.9547577,231.4360199
252.9362488,236.1922913
261.0256805,230.8639984
269.798645,227.3116608
279.363678,225.4446564
285.5862427,221.6213379
276.8684082,224.5163574
267.4203796,226.202301
260.9385376,222.4911957
261.5932312,212.5680084
271.291275,211.206192
278.2426453,205.3730774
281.1729736,199.7878265
272.8479919,204.3431396
263.992569,207.6175232
261.162796,198.8994751
92.33338165,195.381485
293.4159241,194.9051514
346.0578003,200.2866974
287.981781,197.6387177
125.3278046,206.5139771
124.3574142,214.7140503
126.1514511,208.1956635
333.6848755,213.4187164
335.3098755,207.3630676
87.06400299,228.4713593
90.3936615,235.0147095
95.2355423,228.3347473
103.4558029,232.9926605
109.3253708,229.9275665
99.53294373,228.8705444
91.4855957,223.7156525
88.02174377,214.5742188
87.16025543,211.5107269
403.3796082,212.7356415
395.1001282,216.4759827
391.7574768,221.5123291
398.3278503,228.6603088
395.7700806,220.5366974
402.3076782,214.6667633
412.2922058,214.2309875
421.9456787,216.0255737
429.7207336,222.0385742
433.79422,230.9218445
435.9907532,240.5447693
435.9957886,250.5454559
433.714325,260.1409912
437.4453735,261.4042358
447.4362793,261.0314026
456.3641052,261.4883575
462.4784546,269.2160645
467.0666199,277.6120911
471.7783813,286.0238342
475.5119324,295.0598145
477.8789368,304.6613464
479.846344,314.3308411
480.2384338,324.3264771
480.2913208,334.329834
480.0327759,344.329895
479.0275879,354.2702637
476.9957886,363.9571228
474.475769,373.5319519
471.3767395,382.836792
467.3573303,391.6180725
463.6351624,400.7139282
459.264679,409.5730591
454.4163208,417.8712158
448.0699158,425.2471008
442.100647,432.9452209
432.1583557,433.0799561
422.184906,432.6660156
412.6889343,430.9711609
420.8510437,434.2640076
430.2145996,437.0152588
439.8798828,438.9572754
449.7111206,439.7792053
459.7149353,439.8247375
469.7181091,439.710022
479.7161865,439.3730164
489.3803406,437.3752136
484.5093689,436.2327881
474.5123291,436.5704651
465.1533813,435.1560059
460.0445557,426.7155457
456.6420288,418.2671204
462.3131409,410.2870178
467.5448608,402.0463562
472.2071533,393.3225708
475.5797119,384.1028748
482.2009888,377.9438477
492.0866394,376.9334106
502.0895081,376.7825012
512.0914307,376.600769
521.2038879,373.2934265
528.3056946,366.3449707
536.4424438,360.9587708
546.3919067,360.0267029
556.3171997,360.6315308
562.3621826,368.2883606
565.2680664,377.70578
567.7967529,387.1169434
570.2597046,396.59552
572.6382446,406.0410156
573.5460205,415.9145813
568.0371704,422.6300964
559.5061035,427.2984619
551.1434326,431.948761
543.4067993,438.0645752
535.3150635,439.9535217
533.5023193,430.4981995
536.0211792,421.1202698
534.6472778,417.0281982
532.5857544,426.0165405
526.7120361,424.6315002
529.7053528,433.8027039
533.0302734,442.8372498
535.689209,452.245697
537.8930664,461.8554688
537.713623,471.8485413
533.7260742,480.7009277
525.3930664,485.6459045
515.9199829,488.1901855
505.9160767,488.184082
495.9121704,488.177948
485.9083862,488.1716614
475.903656,488.1541138
465.9002075,488.0955505
455.8982849,487.8982239
446.1440125,486.2706299
436.1732178,485.537384
426.3117676,484.2979126
416.5314636,482.7125854
407.194397,479.9821167
397.6153259,478.0718689
388.1891479,475.52948
378.6663513,473.1708679
369.9914246,469.0826416
367.6822205,474.3350525
358.2493286,472.3457031
350.6371155,468.9674377
348.9715881,475.6563416
340.4206848,477.8590698
339.8151855,482.5736694
329.8291931,482.5061951
320.3262329,479.9683228
310.993103,477.431488
301.4419861,474.782196
291.9946899,471.7333069
282.8539124,468.2605896
274.0554352,463.6025085
266.4547577,458.0388184
260.4052582,452.3056641
252.1755066,446.8683167
244.609848,440.7644043
237.2083588,434.0445251
235.2637634,437.4252014
227.4359589,431.4599609
228.3309021,434.5426331
235.244339,441.4670715
242.4278717,448.1007996
250.5167999,453.410675
258.5049133,458.9393921
267.1946564,462.7508545
275.9263458,467.2005615
284.8668823,471.2010193
293.0046692,475.6325378
286.5079346,480.3042297
276.5274048,480.7201538
276.018219,483.8467407
285.7286072,485.860199
295.728302,486.1268616
305.7320251,486.1384277
315.7338562,485.9362488
325.6717224,484.9690247
335.6690979,484.6154785
345.6696472,484.3532104
355.6660156,483.9770508
365.5132751,482.5888367
375.3200684,481.4120483
384.8900146,483.7193298
394.8886108,483.9538269
404.6033325,486.0245361
414.5930481,486.5293274
424.5367432,487.5160522
434.285614,489.0709534
444.2848816,489.372406
454.2849426,489.6424866
464.2800598,490.0552979
474.1638489,491.5202637
484.1534424,491.7740784
493.9465332,489.9569092
503.9369507,489.4900208
513.93927,489.3365173
523.5497131,487.8036194
533.3897705,486.2766113
542.9526978,484.0768433
552.9238892,483.3077087
562.9257813,483.2469177
572.9258423,483.5106201
582.9204712,483.9485474
592.8543701,485.033783
602.6621094,486.1684875
612.6637573,486.3538208
622.6668701,486.4772034
632.6706543,486.5901489
642.6739502,486.7030945
651.7451782,489.8020325
660.8515015,492.5420532
670.7342529,492.2559509
678.4324341,491.0704956
668.4334717,490.852417
658.9346313,488.3301086
650.3678589,483.4781799
643.4887695,481.9271851
633.8450317,484.4144592
623.8693848,485.0749207
613.9317017,484.1347351
604.0115967,483.0662537
594.0111694,482.7827148
584.012207,482.4813232
574.177063,481.0635376
564.3391113,479.9386902
554.3430176,479.566864
544.9168701,477.2817993
541.2907104,468.8252258
539.3560181,459.0875549
538.9246216,449.0949707
542.9702148,440.8684998
550.9937744,435.4145813
559.2555542,430.4170837
568.1047363,426.1109009
574.3928833,419.4842224
574.6826782,409.4952087
572.2965088,399.9650574
571.4252319,390.0074158
568.9446411,380.5366211
566.2359619,370.9995117
563.1373901,361.6451721
559.119873,352.7042847
550.9790649,347.2060547
541.3267212,345.2949524
531.3289185,344.9591064
521.3249512,344.9729309
511.3285522,345.3391724
501.6130371,347.1763306
492.5766907,345.6122742
492.5213623,335.6626587
494.9283447,326.0288391
497.6617432,316.5700989
501.6845093,307.6144409
507.542572,299.6828003
516.182312,295.1749878
526.1011047,294.0701599
536.0993652,293.8304138
545.8371582,292.0984802
555.8374023,292.151947
565.5379639,293.9863586
575.3016968,295.5547485
581.333374,296.0789795
572.3112183,293.1531677
562.6966553,290.8929443
552.7009277,290.5151062
542.6975098,290.4551697
532.6949463,290.6383667
522.7606812,291.5540161
513.1185303,293.1956482
503.6311951,295.556488
493.7539063,296.9452209
484.2825012,298.7160034
478.0335388,292.3242798
475.0294189,283.0554199
470.1963196,274.8118439
464.7836304,266.9041748
457.9816284,260.0415497
458.0214539,251.2420197
461.3348389,242.0636139
459.240387,232.6377869
455.2487183,224.1682281
447.8406067,217.5817108
438.430481,216.3640594
428.4300232,216.1383972
419.9864502,211.4686737
410.0692749,210.6533966
130.6290207,218.9981384
130.8397827,228.9976196
131.9382629,234.9847107
131.8144836,224.9819489
131.5711975,214.9810181
78.70430756,220.2633209
80.88203049,229.8640442
81.93364716,239.7895813
82.26721191,230.290741
79.88719559,220.7663116
78.93021774,214.9177399
331.3978577,218.2494507
331.915863,215.7492676
372.9680786,216.3129425
377.3996887,217.0457611
382.2818298,216.3924408
290.766449,218.4519806
447.722229,220.4328003
454.6190796,227.5737762
457.8562622,236.8260803
457.9105225,246.8131561
452.9722595,254.8314514
445.2051697,260.1191711
437.3539734,256.3674622
437.4559631,246.3731842
437.1332092,236.3792419
434.3964233,226.8954926
433.3316956,217.9620361
443.0438232,218.0856934
231.9152069,221.3099518
222.6461334,224.3877106
213.2091217,227.0513763
203.811203,229.6120911
198.9435577,231.1804352
208.7764435,230.0207977
217.779068,228.5386963
227.2224731,230.4191895
234.7317505,223.9789886
241.3256836,217.9689178
326.9827576,228.3613129
329.0279541,221.852478
112.7564163,227.5488434
402.9816284,238.2210693
405.3734436,247.7888794
403.2710266,257.3868408
398.2782593,265.5476837
390.1853027,270.4820557
380.2314758,271.0214996
386.4812927,272.0063782
396.2243958,270.9520569
405.143219,275.2362061
414.2116699,275.5993347
416.5997009,274.0922241
406.6436462,273.3588562
401.4725647,265.8612366
405.8024292,257.3097229
407.2047424,247.4765015
405.1288147,237.8629608
400.7127686,229.0712128
320.9456482,233.1726685
318.9828796,238.4568939
325.0846558,230.8722992
170.5536652,236.4985809
178.3259888,241.8335114
178.0025177,235.3804169
168.8732147,232.6230011
184.583786,233.453125
194.5817108,233.3813019
287.5442505,235.2334747
114.3234787,235.4616852
244.2782288,245.5172882
247.5551605,247.5785065
255.6792145,252.3996277
265.1739044,250.2789612
273.6990356,251.4444733
278.8551331,245.9994965
280.6147156,241.0454865
272.3140717,246.2481232
263.2702332,249.25
253.2661133,249.25
248.4949493,242.6909637
109.4590988,238.7155914
133.7218552,242.9820404
136.669426,252.4292603
141.8551483,260.5478973
148.1978607,268.2657013
155.8701935,274.6783295
164.0399017,279.8529053
173.1901398,283.3294373
182.4910736,286.176239
191.9873352,288.4824524
201.9903564,288.6271362
211.9943085,288.718689
221.5365295,287.3046265
231.1654358,285.1007385
234.0769653,282.0934448
224.9334564,284.7365112
