x,y
739.6671753,250.3026581
737.8027954,259.5917511
730.7975464,262.3807526
726.5751343,267.0824432
723.3034058,276.4299011
718.5059204,284.9145203
717.6242065,294.1671448
716.1483154,303.625824
707.9793091,309.3274536
699.6309204,314.7027283
690.9973145,319.5776367
688.5869141,323.0651245
690.5664673,324.8997192
681.9273682,329.133667
678.5895996,337.5869751
673.9476318,346.4290466
669.6578369,355.3035583
665.7124634,364.4817505
661.800293,373.6685791
667.6662598,376.6995239
677.6583862,376.665741
687.4221802,375.6497498
695.352417,370.2113037
703.3944092,364.6790161
710.9901123,358.1957397
718.4025879,351.496521
724.7254639,348.7387695
717.9777222,355.8911438
710.5786133,362.5496521
703.0673828,368.9735107
695.1243896,374.7308655
699.1063232,376.8634644
709.0986328,376.9087219
719.0909424,376.9278564
729.0836182,376.9319763
739.0760498,376.9255676
749.0686035,376.9096985
759.0611572,376.8895569
769.0535889,376.8683167
779.0459595,376.8470764
789.0386353,376.8258362
799.0310059,376.8045654
809.0234375,376.7833252
812.4547119,368.1776733
815.4806519,358.7492676
814.3605957,357.5684204
804.7932739,356.7002563
797.2155151,352.7593384
787.6396484,350.6380615
781.0574341,343.4696045
777.8863525,339.1980896
768.8045044,335.6307678
759.3397217,332.4445496
750.4118652,328.2456055
742.0005493,323.0713806
736.1569214,314.9934692
732.3100586,306.4020081
726.1390991,298.5639954
729.7816162,299.8508606
737.2084961,306.4464722
746.5844116,305.2566528
752.7958984,297.5455627
756.6308594,288.5447083
758.7241821,278.7794189
761.9390869,278.2866516
763.270874,288.1665039
764.0819702,288.8763428
763.4984131,278.9241333
760.7474976,269.41008
757.3256226,260.0281982
754.0805664,250.6104584
757.1345215,250.146286
758.718811,245.9880219
759.8009033,244.536972
753.2757568,237.0231476
748.1772461,228.4808044
744.109314,219.6833649
742.8461914,209.802002
745.9373779,207.570816
749.5161133,216.7483521
753.5739746,215.4803467
751.1005249,206.0031738
754.1255493,199.0830688
754.8641968,192.5082855
757.8256226,192.0546265
754.9432983,183.2203064
752.9761963,173.9157715
749.6761475,164.7038269
746.0039673,155.492157
742.0993652,146.3775482
736.6375732,138.0173492
587.675354,161.6183472
585.4210205,171.0531311
585.0661621,180.9237976
583.7119141,190.8205719
582.2764282,200.7090759
580.1362915,210.4376373
577.6121216,220.0627747
581.1431885,216.1669006
583.2172241,206.4097443
586.9873657,197.4496918
590.1253662,188.2557831
590.1104126,178.8682861
590.2358398,168.8835602
591.2017822,158.9406738
591.3449707,153.1413879
762.0931396,195.6559296
589.3503418,203.5427551
585.3344727,212.1761322
582.2345581,221.6685638
577.2622681,228.5914612
575.2163086,228.5300903
571.9595947,237.9391022
576.4263916,236.3377075
580.5478516,227.5995483
584.3184204,227.4688263
582.9174805,237.3528595
580.75177,247.0633545
579.2997437,256.9388885
578.1583862,266.8584137
578.2560425,276.8338928
580.1953735,286.5985107
583.1068115,296.1108398
585.3858643,297.0089722
584.4642334,287.0666809
583.2919312,277.1492004
582.9080811,267.1652374
584.9435425,260.5886993
585.9434204,270.5112762
587.0429688,280.4157715
587.6320801,290.3834229
592.0186768,298.7105713
594.213501,301.5777893
